Spaltennamen;Spaltennamen_neu
Gebiet;Kreisname
gehört.zu;Bundesland_ID
Wahlberechtigte;Wahlberechtigte
Wähler..innen;Waehler
Ungültige;Ungueltige
Gültige;Gueltige
Christlich.Demokratische.Union.Deutschlands;CDU
Sozialdemokratische.Partei.Deutschlands;SPD
BÜNDNIS.90.DIE.GRÜNEN;Gruene
DIE.LINKE;Linke
Alternative.für.Deutschland;AfD
Christlich.Soziale.Union.in.Bayern.e.V.;CSU
Freie.Demokratische.Partei;FDP
FREIE.WÄHLER;FW
Piratenpartei.Deutschland;Piraten
PARTEI.MENSCH.UMWELT.TIERSCHUTZ;Tierschutz
Nationaldemokratische.Partei.Deutschlands;NPD
Familien.Partei.Deutschlands;Familie
Ökologisch.Demokratische.Partei;ÖDP
Partei.für.Arbeit..Rechtsstaat..Tierschutz..Elitenförderung.und.basisdemokratische.Initiative;Partei.für.Arbeit..Rechtsstaat..Tierschutz..Elitenförderung.und.basisdemokratische.Initiative
Ab.jetzt...Demokratie.durch.Volksabstimmung...Politik.für.die.Menschen;Ab.jetzt...Demokratie.durch.Volksabstimmung...Politik.für.die.Menschen
Bayernpartei;Bayernpartei
Deutsche.Kommunistische.Partei;Deutsche.Kommunistische.Partei
Marxistisch.Leninistische.Partei.Deutschlands;Marxistisch.Leninistische.Partei.Deutschlands
Sozialistische.Gleichheitspartei..Vierte.Internationale;Sozialistische.Gleichheitspartei..Vierte.Internationale
Aktion.Partei.für.Tierschutz...DAS.ORIGINAL;Aktion.Partei.für.Tierschutz...DAS.ORIGINAL
Allianz.für.Menschenrechte..Tier..und.Naturschutz;Allianz.für.Menschenrechte..Tier..und.Naturschutz
Bündnis.C...Christen.für.Deutschland;Bündnis.C...Christen.für.Deutschland
Bündnis.für.Innovation...Gerechtigkeit;Bündnis.für.Innovation...Gerechtigkeit
Bündnis.Grundeinkommen...Die.Grundeinkommenspartei;Bündnis.Grundeinkommen...Die.Grundeinkommenspartei
Demokratie.DIREKT.;Demokratie.DIREKT.
Demokratie.in.Europa...DiEM25;Demokratie.in.Europa...DiEM25
DER.DRITTE.WEG;DER.DRITTE.WEG
Die.Grauen...Für.alle.Generationen;Die.Grauen...Für.alle.Generationen
DIE.RECHTE...Partei.für.Volksabstimmung..Souveränität.und.Heimatschutz;DIE.RECHTE...Partei.für.Volksabstimmung..Souveränität.und.Heimatschutz
Die.Violetten;Die.Violetten
Europäische.Partei.LIEBE;Europäische.Partei.LIEBE
Feministische.Partei.DIE.FRAUEN;Feministische.Partei.DIE.FRAUEN
Graue.Panther;Graue.Panther
LKR...Bernd.Lucke.und.die.Liberal.Konservativen.Reformer;LKR...Bernd.Lucke.und.die.Liberal.Konservativen.Reformer
Menschliche.Welt...für.das.Wohl.und.Glücklichsein.aller;Menschliche.Welt...für.das.Wohl.und.Glücklichsein.aller
Neue.Liberale...Die.Sozialliberalen;Neue.Liberale...Die.Sozialliberalen
Ökologische.Linke;Ökologische.Linke
Partei.der.Humanisten;Partei.der.Humanisten
PARTEI.FÜR.DIE.TIERE.DEUTSCHLAND;PARTEI.FÜR.DIE.TIERE.DEUTSCHLAND
Partei.für.Gesundheitsforschung;Partei.für.Gesundheitsforschung
Volt.Deutschland;Volt.Deutschland
Bundesland_Name;Bundesland_Name
Bundesland_ID;Bundesland_Kurz
Nr;Kreis_ID