Year,Date,Host country,Host city,Winner,Song,Performer,Language,Points,Margin,Runner-up
1956,24 May,Switzerland,Lugano,Switzerland,Refrain,Lys Assia,French,,,
1957,3 March,Germany,Frankfurt,Netherlands,Net als toen,Corry Brokken,Dutch,31,14,France
1958,12 March,Netherlands,Hilversum,France,"Dors, mon amour",André Claveau,French,27,3,Switzerland
1959,11 March,France,Cannes,Netherlands,Een beetje,Teddy Scholten,Dutch,21,5,United Kingdom
1960,29 March,United Kingdom,London,France,Tom Pillibi,Jacqueline Boyer,French,32,7,United Kingdom
1961,18 March,France,Cannes,Luxembourg,Nous les amoureux,Jean-Claude Pascal,French,31,7,United Kingdom
1962,18 March,Luxembourg,Luxembourg,France,Un premier amour,Isabelle Aubret,French,26,13,Monaco
1963,23 March,United Kingdom,London,Denmark,Dansevise,Grethe and Jørgen Ingmann,Danish,42,2,Switzerland
1964,21 March,Denmark,Copenhagen,Italy,Non ho l'età,Gigliola Cinquetti,Italian,49,32,United Kingdom
1965,20 March,Italy,Naples,Luxembourg,"Poupée de cire, poupée de son",France Gall,French,32,6,United Kingdom
1966,5 March,Luxembourg,Luxembourg,Austria,"Merci, Chérie",Udo Jürgens,German,31,15,Sweden
1967,8 April,Austria,Vienna,United Kingdom,Puppet on a String,Sandie Shaw,English,47,25,Ireland
1968,6 April,United Kingdom,London,Spain,"La, la, la",Massiel,Spanish,29,1,United Kingdom
1969,29 March,Spain,Madrid,Spain,Vivo cantando,Salomé,Spanish,18,,
1969,29 March,Spain,Madrid,United Kingdom,Boom Bang-a-Bang,Lulu,English,18,,
1969,29 March,Spain,Madrid,Netherlands,De troubadour,Lenny Kuhr,Dutch,18,,
1969,29 March,Spain,Madrid,France,"Un jour, un enfant",Frida Boccara,French,18,,
1970,21 March,Netherlands,Amsterdam,Ireland,All Kinds of Everything,Dana,English,32,6,United Kingdom
1971,3 April,Republic of Ireland,Dublin,Monaco,"Un banc, un arbre, une rue",Séverine,French,128,12,Spain
1972,25 March,United Kingdom,Edinburgh,Luxembourg,Après toi,Vicky Leandros,French,128,14,United Kingdom
1973,7 April,Luxembourg,Luxembourg,Luxembourg,Tu te reconnaîtras,Anne-Marie David,French,129,4,Spain
1974,6 April,United Kingdom,Brighton,Sweden,Waterloo,ABBA,English,24,6,Italy
1975,22 March,Sweden,Stockholm,Netherlands,Ding-a-dong,Teach-In,English,152,14,United Kingdom
1976,3 April,Netherlands,The Hague,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,English,164,17,France
1977,7 May,United Kingdom,London,France,L'oiseau et l'enfant,Marie Myriam,French,136,15,United Kingdom
1978,22 April,France,Paris,Israel,A-Ba-Ni-Bi (א-ב-ני-בי),Izhar Cohen and the Alphabeta,Hebrew,157,32,Belgium
1979,31 March,Israel,Jerusalem,Israel,Hallelujah (הללויה),Gali Atari and Milk and Honey,Hebrew,125,9,Spain
1980,19 April,Netherlands,The Hague,Ireland,What's Another Year,Johnny Logan,English,143,15,Germany
1981,4 April,Republic of Ireland,Dublin,United Kingdom,Making Your Mind Up,Bucks Fizz,English,136,4,Germany
1982,24 April,United Kingdom,Harrogate,Germany,Ein bißchen Frieden,Nicole,German,161,61,Israel
1983,23 April,Germany,Munich,Luxembourg,Si la vie est cadeau,Corinne Hermès,French,142,6,Israel
1984,5 May,Luxembourg,Luxembourg,Sweden,Diggi-Loo Diggi-Ley,Herreys,Swedish,145,8,Ireland
1985,4 May,Sweden,Gothenburg,Norway,La det swinge,Bobbysocks!,Norwegian,123,18,Germany
1986,3 May,Norway,Bergen,Belgium,J'aime la vie,Sandra Kim,French,176,36,Switzerland
1987,9 May,Belgium,Brussels,Ireland,Hold Me Now,Johnny Logan,English,172,31,Germany
1988,30 April,Republic of Ireland,Dublin,Switzerland,Ne partez pas sans moi,Céline Dion,French,137,1,United Kingdom
1989,6 May,Switzerland,Lausanne,Yugoslavia,Rock Me,Riva,Croatian,137,7,United Kingdom
1990,5 May,Socialist Federal Republic of Yugoslavia,Zagreb,Italy,Insieme: 1992,Toto Cutugno,Italian,149,17,Ireland
1991,4 May,Italy,Rome,Sweden,Fångad av en stormvind,Carola,Swedish,146,0,France
1992,9 May,Sweden,Malmö,Ireland,Why Me?,Linda Martin,English,155,16,United Kingdom
1993,15 May,Republic of Ireland,Millstreet,Ireland,In Your Eyes,Niamh Kavanagh,English,187,23,United Kingdom
1994,30 April,Republic of Ireland,Dublin,Ireland,Rock 'n' Roll Kids,Paul Harrington and Charlie McGettigan,English,226,60,Poland
1995,13 May,Republic of Ireland,Dublin,Norway,Nocturne,Secret Garden[a],Norwegian,148,29,Spain
1996,18 May,Norway,Oslo,Ireland,The Voice,Eimear Quinn,English,162,48,Norway
1997,3 May,Republic of Ireland,Dublin,United Kingdom,Love Shine a Light,Katrina and the Waves,English,227,70,Ireland
1998,9 May,United Kingdom,Birmingham,Israel,Diva (דיווה),Dana International,Hebrew,172,6,United Kingdom
1999,29 May,Israel,Jerusalem,Sweden,Take Me to Your Heaven,Charlotte Nilsson,English,163,17,Iceland
2000,13 May,Sweden,Stockholm,Denmark,Fly on the Wings of Love,Olsen Brothers,English,195,40,Russia
2001,12 May,Denmark,Copenhagen,Estonia,Everybody,"Tanel Padar, Dave Benton and 2XL",English,198,21,Denmark
2002,25 May,Estonia,Tallinn,Latvia,I Wanna,Marie N,English,176,12,Malta
2003,24 May,Latvia,Riga,Turkey,Everyway That I Can,Sertab Erener,English,167,2,Belgium
2004,15 May,Turkey,Istanbul,Ukraine,Wild Dances,Ruslana,English,280,17,Serbia and Montenegro
2005,21 May,Ukraine,Kiev,Greece,My Number One,Helena Paparizou,English,230,38,Malta
2006,20 May,Greece,Athens,Finland,Hard Rock Hallelujah,Lordi,English,292,44,Russia
2007,12 May,Finland,Helsinki,Serbia,Molitva (Молитва),Marija Šerifović,Serbian,268,33,Ukraine
2008,24 May,Serbia,Belgrade,Russia,Believe,Dima Bilan,English,272,42,Ukraine
2009,16 May,Russia,Moscow,Norway,Fairytale,Alexander Rybak,English,387,169,Iceland
2010,29 May,Norway,Oslo,Germany,Satellite,Lena,English,246,76,Turkey
2011,14 May,Germany,Düsseldorf,Azerbaijan,Running Scared,Ell & Nikki,English,221,32,Italy
2012,26 May,Azerbaijan,Baku,Sweden,Euphoria,Loreen,English,372,113,Russia
2013,18 May,Sweden,Malmö,Denmark,Only Teardrops,Emmelie de Forest,English,281,47,Azerbaijan
2014,10 May,Denmark,Copenhagen,Austria,Rise Like a Phoenix,Conchita Wurst,English,290,52,Netherlands
2015,23 May,Austria,Vienna,Sweden,Heroes,Måns Zelmerlöw,English,365,62,Russia
2016,14 May,Sweden,Stockholm,Ukraine,1944,Jamala,English,534,23,Australia
2017,13 May,Ukraine,Kiev,Portugal,Amar pelos dois,Salvador Sobral,Portuguese,758,143,Bulgaria
2018,12 May,Portugal,Lisbon,Israel,Toy,Netta,English,529,93,Cyprus
2019,18 May,Israel,Tel Aviv,Netherlands,Arcade,Duncan Laurence,English,498,26,Italy
